well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1332-N18_S2619_R1_001;I23-1332-N18;sample;Bacillaceae;90,59;3083;36846
I23-1332-N19_S2635_R1_001;I23-1332-N19;sample;Flavobacteriaceae;20,34;3073;36708
I23-1332-N20_S2651_R1_001;I23-1332-N20;sample;Bacillaceae;85,57;1532;16270
I23-1332-N21_S2667_R1_001;I23-1332-N21;sample;Comamonadaceae;12,89;3678;44996
I23-1332-N22_S2683_R1_001;I23-1332-N22;sample;Bacillaceae;90,07;1168;12511
I23-1332-N23_S2699_R1_001;I23-1332-N23;sample;Microbacteriaceae;40,98;3992;46323
I23-1332-N24_S2715_R1_001;I23-1332-N24;sample;Bacillaceae;86,96;1281;10741
I23-1332-O01_S2348_R1_001;I23-1332-O01;sample;Streptomycetaceae;85,7;1867;32307
I23-1332-O02_S2364_R1_001;I23-1332-O02;sample;Pseudomonadaceae;58,92;1278;14858
I23-1332-O03_S2380_R1_001;I23-1332-O03;sample;Pseudomonadaceae;57,97;1858;24880
I23-1332-O04_S2396_R1_001;I23-1332-O04;sample;Pseudomonadaceae;61,76;4817;59179
I23-1332-O05_S2412_R1_001;I23-1332-O05;sample;Streptomycetaceae;40,51;3969;41410
I23-1332-O06_S2428_R1_001;I23-1332-O06;sample;Devosiaceae;5,3;5192;73823
I23-1332-O07_S2444_R1_001;I23-1332-O07;sample;Streptococcaceae;3,51;57;609
I23-1332-O08_S2460_R1_001;I23-1332-O08;sample;Methylobacteriaceae;17,2;5158;85433
I23-1332-O09_S2476_R1_001;I23-1332-O09;sample;Bacillaceae;85,03;4463;63213
I23-1332-O10_S2492_R1_001;I23-1332-O10;sample;Methylobacteriaceae;59,53;467;5177
I23-1332-O11_S2508_R1_001;I23-1332-O11;sample;Pseudomonadaceae;100;1;72
I23-1332-O12_S2524_R1_001;I23-1332-O12;sample;Morganellaceae;0,43;1645;16030
I23-1332-O13_S2540_R1_001;I23-1332-O13;sample;0;0;0;86
I23-1332-O14_S2556_R1_001;I23-1332-O14;sample;Hominidae;2,22;90;1235
I23-1332-O15_S2572_R1_001;I23-1332-O15;sample;Microbacteriaceae;19,05;6441;75912
I23-1332-O16_S2588_R1_001;I23-1332-O16;sample;Enterobacteriaceae;83,8;432;6160
I23-1332-O17_S2604_R1_001;I23-1332-O17;sample;Microbacteriaceae;20,77;8138;110772
I23-1332-O18_S2620_R1_001;I23-1332-O18;sample;0;0;0;45
I23-1332-O19_S2636_R1_001;I23-1332-O19;sample;Methylobacteriaceae;17,1;2550;34214
I23-1332-O20_S2652_R1_001;I23-1332-O20;sample;Pseudomonadaceae;57,06;1211;13649
I23-1332-O21_S2668_R1_001;I23-1332-O21;sample;Microbacteriaceae;17,33;2112;22705
I23-1332-O22_S2684_R1_001;I23-1332-O22;sample;Pseudomonadaceae;60,71;1909;21145
I23-1332-O23_S2700_R1_001;I23-1332-O23;sample;Burkholderiaceae;42,54;503;6616
I23-1332-O24_S2716_R1_001;I23-1332-O24;sample;Pseudomonadaceae;60,81;5108;50737
I23-1332-P01_S2349_R1_001;I23-1332-P01;sample;Flavobacteriaceae;10,88;5944;90294
I23-1332-P02_S2365_R1_001;I23-1332-P02;sample;Bacillaceae;85,53;4437;60336
I23-1332-P03_S2381_R1_001;I23-1332-P03;sample;Pseudomonadaceae;70,15;6830;92958
I23-1332-P04_S2397_R1_001;I23-1332-P04;sample;Bacillaceae;91,53;7402;93700
I23-1332-P05_S2413_R1_001;I23-1332-P05;sample;Xanthomonadaceae;67,63;2357;34458
I23-1332-P06_S2429_R1_001;I23-1332-P06;sample;Bacillaceae;84,77;4536;55076
I23-1332-P07_S2445_R1_001;I23-1332-P07;sample;Pseudomonadaceae;72,99;7981;90607
I23-1332-P08_S2461_R1_001;I23-1332-P08;sample;Bacillaceae;87,57;5472;67499
I23-1332-P09_S2477_R1_001;I23-1332-P09;sample;Pseudomonadaceae;33,61;4395;54680
I23-1332-P10_S2493_R1_001;I23-1332-P10;sample;Bacillaceae;84,92;2712;31399
I23-1332-P11_S2509_R1_001;I23-1332-P11;sample;Pseudomonadaceae;25,94;2625;30886
I23-1332-P12_S2525_R1_001;I23-1332-P12;sample;Bacillaceae;87,3;1653;17681
I23-1332-P13_S2541_R1_001;I23-1332-P13;sample;Pseudomonadaceae;16,2;3192;50343
I23-1332-P14_S2557_R1_001;I23-1332-P14;sample;Bacillaceae;91,67;5747;76314
I23-1332-P15_S2573_R1_001;I23-1332-P15;sample;Xanthomonadaceae;45,65;5663;74985
I23-1332-P16_S2589_R1_001;I23-1332-P16;sample;Bacillaceae;91,87;4453;55546
I23-1332-P17_S2605_R1_001;I23-1332-P17;sample;Xanthomonadaceae;70,09;2862;33598
I23-1332-P18_S2621_R1_001;I23-1332-P18;sample;Bacillaceae;82,72;1094;11303
I23-1332-P19_S2637_R1_001;I23-1332-P19;sample;Oxalobacteraceae;9,1;2385;28078
I23-1332-P20_S2653_R1_001;I23-1332-P20;sample;Bacillaceae;90,17;1210;13887
I23-1332-P21_S2669_R1_001;I23-1332-P21;sample;Pseudomonadaceae;61,47;545;6264
I23-1332-P22_S2685_R1_001;I23-1332-P22;sample;Bacillaceae;86,3;219;2283
I23-1332-P23_S2701_R1_001;I23-1332-P23;sample;Flavobacteriaceae;23,82;1205;13973
I23-1332-P24_S2717_R1_001;I23-1332-P24;sample;0;0;0;21
